,LR,SVM-L,SVM-R,SVM-P,RF,MLP-s,MLP-f
LR,,0.22423781990203767,0.9776460142931929,2.5898653450017357,-2.4188375897859893,-1.512535365964305,-1.5279261445872132
SVM-L,-0.22423781990203767,,0.9443244332030459,2.666194983170523,-2.2573754702687245,-1.7580184380796253,-1.6577321878764648
SVM-R,-0.9776460142931929,-0.9443244332030459,,4.632184747555222,-1.8936021330556674,-1.5151486282296598,-1.5182914064584854
SVM-P,-2.5898653450017357,-2.666194983170523,-4.632184747555222,,-3.504277117893422,-3.1076288011009563,-3.1489625964269607
RF,2.4188375897859893,2.2573754702687245,1.8936021330556674,3.504277117893422,,0.6762735227598475,0.6845288338805811
MLP-s,1.512535365964305,1.7580184380796253,1.5151486282296598,3.1076288011009563,-0.6762735227598475,,-0.01755330574831266
MLP-f,1.5279261445872132,1.6577321878764648,1.5182914064584854,3.1489625964269607,-0.6845288338805811,0.01755330574831266,
