,LR,SVM-L,SVM-R,SVM-P,RF,MLP-s,MLP-f
LR,,0.8241446275759768,0.33633505039019307,0.014864260406625841,0.02207418276935474,0.14122015393136755,0.13736574457337786
SVM-L,0.8241446275759768,,0.3528055954856414,0.01241118931315018,0.03168818896126253,0.08929622560177204,0.10815177968949993
SVM-R,0.33633505039019307,0.3528055954856414,,7.042998009253187e-05,0.06829350865074443,0.1405595989404267,0.13976851191377693
SVM-P,0.014864260406625841,0.01241118931315018,7.042998009253187e-05,,0.0015074013380825023,0.004196497732518655,0.003779170159902145
RF,0.02207418276935474,0.03168818896126253,0.06829350865074443,0.0015074013380825023,,0.5042253002391741,0.49907589370853883
MLP-s,0.14122015393136755,0.08929622560177204,0.1405595989404267,0.004196497732518655,0.5042253002391741,,0.9861154205113323
MLP-f,0.13736574457337786,0.10815177968949993,0.13976851191377693,0.003779170159902145,0.49907589370853883,0.9861154205113323,
